AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2017;VA;CP;VA-705;1;VA-1060;VA-1060;13.4;VA-1060;DE VILLARDEFRADES A LÍMITE DE PROVINCIA DE ZAMORA;15.1;0.0;15.1;762;628;134;82.41;17.59;857;659;198;76.9;23.1;68;61-70;0.0;67.79;13.37;1.26;0.7;7.35;9.14;0.4;0.0;0.43;;ZA;
2017;VA;CP;VA-801;1;VA-4540;VA-4540;5.0;VA-0030;DE ATAQUINES (A-6) A FUENTE EL SOL (CL-610);10.42;0.0;10.42;466;303;163;65.02;34.98;411;301;110;73.24;26.76;82;81-90;0.35;73.54;9.37;0.38;0.48;5.13;10.07;0.67;0.07;0.24;;;
2017;VA;CP;VA-801;3;VA-4550;VA-4550;37.0;VA-1085;DE CASTREJÓN (VA-800) A ALAEJOS (N-620);9.08;32.52;41.6;857;808;49;94.28;5.72;771;664;107;86.12;13.88;76;71-80;0.09;81.62;9.99;0.89;0.56;3.97;1.68;1.2;0.18;0.22;;;
2017;VA;CP;VA-905;2;VA-4135;VA-4135;25.0;VA-1130;DE VILLALÓN DE CAMPOS (N-610) A LÍMITE DE PROVINCIA DE PALENCIA;7.1;21.4;28.5;362;332;30;91.71;8.29;334;310;24;92.81;7.19;64;61-70;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;PA;
2017;VA;CL;VA-110;1;PA-4290;;;PA-1190;DE VA-140 A LÍMITE DE PROVINCIA DE PALENCIA;5.5;0.0;5.5;34;28;6;82.35;17.65;39;36;3;92.31;7.69;73;71-80;0.73;76.16;10.85;0.27;0.34;3.47;7.35;0.84;0.4;0.31;;PA;
2017;VA;CL;VA-241;1;VA-4295;VA-4295;7.0;VA-1130;DE PEÑAFIEL A LÍMITE DE PROVINCIA DE SEGOVIA;12.3;0.0;12.3;427;423;4;99.06;0.94;319;305;14;95.61;4.39;74;71-80;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;SG;
2017;VA;CL;VA-302;1;VA-4490;VA-4490;3.0;VA-0610;DE MOJADOS A ALDEAMAYOR DE SAN MARTÍN (A-601) POR PEDRAJA DE PORTILLO;9.3;0.0;9.3;686;663;23;96.65;3.35;599;579;20;96.66;3.34;58;<=60;0.29;79.73;6.6;0.0;0.6;3.01;9.12;0.64;0.08;0.57;;;
2017;VA;CL;VA-510;1;VA-4570;VA-4570;4.0;VA-1130;DE LA MUDARRA (N-601) A CASTROMONTE (VA-515);8.2;0.0;8.2;747;732;15;97.99;2.01;659;645;14;97.88;2.12;82;81-90;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CL;VA-511;1;VA-4570;;;VA-1130;DE CASTROMONTE (VA-515) A VILLABRÁGIMA (VA-505);8.0;0.0;8.0;747;732;15;97.99;2.01;659;645;14;97.88;2.12;79;71-80;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CL;VA-542;1;VA-4530;VA-4530;5.0;VA-1130;DE MAYORGA (N-601) A LÍMITE DE PROVINCIA DE LEÓN;10.6;0.0;10.6;349;332;17;95.13;4.87;416;397;19;95.43;4.57;74;71-80;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;LE;
2017;VA;CL;VA-610;1;VA-4360;VA-4360;8.0;VA-1085;DE N-620 A CASTRONUÑO;17.61;0.0;17.61;355;347;8;97.75;2.25;338;323;15;95.56;4.44;70;61-70;0.09;81.62;9.99;0.89;0.56;3.97;1.68;1.2;0.18;0.22;;;
2017;VA;CL;VA-610;2;ZA-4560;;;ZA-1315;DE CASTRONUÑO A LÍMITE DE PROVINCIA DE ZAMORA;6.39;17.61;24.0;184;169;15;91.85;8.15;158;147;11;93.04;6.96;83;81-90;0.56;79.16;9.9;0.54;0.89;7.94;1.02;0.0;0.03;0.28;;ZA;
2017;VA;CL;VA-900;2;VA-4510;VA-4510;8.0;VA-1130;DE FUENSALDAÑA A MUCIENTES;4.01;5.5;9.51;1996;1903;93;95.34;4.66;1907;1829;78;95.91;4.09;71;71-80;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CL;VA-900;3;VA-4390;VA-4390;17.0;VA-1130;DE MUCIENTES A A-62 POR TRIGUEROS DEL VALLE;23.39;9.51;32.9;313;302;11;96.49;3.51;335;329;6;98.21;1.79;68;61-70;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;;
2017;VA;CL;VA-904;1;PA-4800;;;PA-1030;DE TRIGUEROS DEL VALLE (VA-900) A LÍMITE DE PROVINCIA DE PALENCIA;8.7;0.0;8.7;54;51;3;94.44;5.56;41;35;6;85.37;14.63;72;71-80;0.36;73.85;7.51;0.72;0.79;6.51;9.28;0.99;0.73;0.0;;PA;
